CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
619,36,9,75545.78,3,0,1,102407.92,0
659,54,5,146329.55,4,0,0,145672.18,0
437,39,2,36866.73,1,0,1,169330.69,0
805,49,7,59527.03,1,1,1,123704.11,0
735,58,2,42917.82,2,0,0,77518.87,1
499,64,0,88470.45,4,0,1,110669.6,0
619,36,9,75545.78,3,0,1,102407.92,0
601,26,8,189238.91,4,0,1,147958.16,0
716,23,4,123650.78,3,0,1,22657.63,0
351,58,0,193516.11,4,0,0,152956.59,0
716,23,1,16656.88,3,1,0,126840.55,0
551,49,6,135968.96,1,0,0,124752.0,1
700,19,1,106865.49,2,0,0,87701.48,1
694,20,6,141166.3,3,1,0,23095.09,0
580,52,4,70043.65,3,1,0,31710.79,0
404,45,10,100207.98,1,0,1,158487.75,1
785,45,9,168404.62,3,0,0,142422.68,0
351,58,0,193516.11,4,0,0,152956.59,0
694,49,5,62282.66,4,1,1,32172.25,0
414,43,1,109183.15,2,0,0,81142.72,1
499,64,0,88470.45,4,0,1,110669.6,0
656,45,5,188850.32,3,1,0,45416.95,0
658,31,7,47957.47,4,0,0,144373.72,0
739,29,2,109594.38,2,0,1,144326.29,1
524,30,6,177336.08,3,1,1,82053.43,1
484,45,5,173439.79,3,1,1,54781.43,1
437,39,2,36866.73,1,0,1,169330.69,0
400,24,0,3060.91,4,1,1,147103.34,0
811,23,0,19996.98,1,1,1,117446.59,0
669,59,5,136792.75,4,1,1,152595.37,1
737,28,10,25700.07,1,0,0,139766.59,0
694,20,6,141166.3,3,1,0,23095.09,0
400,24,0,3060.91,4,1,1,147103.34,0
478,24,9,173373.74,4,1,1,183030.38,1
499,64,0,88470.45,4,0,1,110669.6,0
689,20,0,75451.82,3,1,1,84381.6,0
709,18,7,137699.98,4,1,1,145080.97,0
676,36,5,193730.39,1,0,1,24691.0,1
739,29,2,109594.38,2,0,1,144326.29,1
370,61,2,127280.72,4,0,1,130414.13,0
808,57,2,50172.11,3,0,0,100557.7,0
452,40,4,142919.02,2,0,1,103242.27,0
403,56,1,84694.19,4,0,1,157928.67,0
404,45,10,100207.98,1,0,1,158487.75,1
414,43,1,109183.15,2,0,0,81142.72,1
769,32,0,69667.32,4,1,1,104130.49,1
609,20,9,115184.92,2,1,1,48863.47,0
539,28,5,169428.63,1,0,1,167091.78,0
370,50,4,193907.37,3,0,0,195262.76,1
